person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
45,42398,RENT,15.0,HOMEIMPROVEMENT,B,13409,10.47,0,0.32,N,22
21,56033,MORTGAGE,2.0,EDUCATION,B,18824,,1,0.34,N,2
39,57575,OTHER,17.0,PERSONAL,A,21030,6.2,0,0.37,Y,6
47,35099,MORTGAGE,4.0,DEBTCONSOLIDATION,F,12589,20.76,1,0.36,N,24
66,80500,MORTGAGE,21.0,PERSONAL,A,22983,5.15,0,0.29,N,24
26,44914,MORTGAGE,3.0,MEDICAL,C,13437,13.98,0,0.3,N,3
63,33594,RENT,5.0,EDUCATION,B,12234,10.08,0,0.36,N,28
27,64103,MORTGAGE,5.0,PERSONAL,C,18999,11.98,0,0.3,N,8
66,31280,MORTGAGE,22.0,PERSONAL,B,10705,8.26,0,0.34,N,13
54,49716,RENT,12.0,PERSONAL,C,16376,11.84,0,0.33,N,11
33,48797,MORTGAGE,11.0,PERSONAL,C,12611,11.99,0,0.26,N,3
36,84368,RENT,,HOMEIMPROVEMENT,C,20914,13.11,0,0.25,N,9
55,62152,MORTGAGE,26.0,MEDICAL,A,8590,6.25,0,0.14,N,34
69,48411,MORTGAGE,1.0,EDUCATION,C,7565,11.03,1,0.16,N,17
59,73782,MORTGAGE,32.0,MEDICAL,A,25151,6.47,0,0.34,N,30
23,98233,RENT,4.0,DEBTCONSOLIDATION,A,2835,6.87,0,0.03,N,3
21,64789,MORTGAGE,2.0,DEBTCONSOLIDATION,B,22283,8.47,0,0.34,N,2
25,49275,OWN,4.0,VENTURE,B,17738,9.12,0,0.36,N,3
61,25440,RENT,22.0,DEBTCONSOLIDATION,B,5473,7.83,0,0.22,Y,28
23,28780,MORTGAGE,1.0,EDUCATION,C,4195,12.63,0,0.15,N,4
48,42082,OWN,17.0,MEDICAL,A,11319,,0,0.27,N,5
37,36143,MORTGAGE,8.0,VENTURE,A,10179,6.21,1,0.28,Y,11
45,44645,RENT,13.0,VENTURE,A,9345,5.4,0,0.21,N,11
63,50429,RENT,5.0,MEDICAL,C,1906,13.39,0,0.04,N,12
53,63885,MORTGAGE,6.0,MEDICAL,B,12955,8.77,0,0.2,N,31
29,47322,RENT,3.0,DEBTCONSOLIDATION,B,16768,10.47,0,0.35,N,4
55,62520,RENT,16.0,HOMEIMPROVEMENT,C,8198,12.32,0,0.13,N,30
33,50626,MORTGAGE,2.0,MEDICAL,B,2620,8.59,0,0.05,N,14
50,18256,OWN,9.0,VENTURE,B,4628,10.12,0,0.25,Y,20
67,30648,MORTGAGE,11.0,EDUCATION,B,5418,9.8,0,0.18,N,26
34,45613,RENT,8.0,PERSONAL,C,9523,,0,0.21,N,14
27,26773,RENT,0.0,EDUCATION,C,5338,12.15,1,0.2,N,3
33,66168,RENT,10.0,MEDICAL,A,16911,,0,0.26,N,13
42,105384,RENT,1.0,PERSONAL,A,6301,5.92,0,0.06,N,9
59,90163,OWN,6.0,HOMEIMPROVEMENT,A,16144,7.04,0,0.18,N,39
40,44058,OWN,21.0,EDUCATION,C,14784,11.62,0,0.34,N,8
35,103296,RENT,0.0,VENTURE,D,3423,16.2,0,0.03,N,15
64,52803,RENT,24.0,PERSONAL,B,9272,9.02,1,0.18,N,31
37,41417,RENT,10.0,PERSONAL,A,2573,5.07,0,0.06,N,9
66,36072,RENT,23.0,DEBTCONSOLIDATION,C,9035,11.46,1,0.25,N,13
43,42140,RENT,23.0,VENTURE,D,1419,16.53,0,0.03,N,19
45,40372,MORTGAGE,23.0,DEBTCONSOLIDATION,D,1466,,0,0.04,N,15
44,53380,MORTGAGE,1.0,DEBTCONSOLIDATION,B,16787,9.62,0,0.31,N,2
64,53118,MORTGAGE,23.0,EDUCATION,D,6176,15.72,0,0.12,N,5
60,49095,RENT,16.0,EDUCATION,A,4393,6.94,0,0.09,N,19
48,60990,MORTGAGE,17.0,HOMEIMPROVEMENT,A,10757,7.22,0,0.18,N,20
34,88904,MORTGAGE,7.0,DEBTCONSOLIDATION,A,16164,6.65,0,0.18,N,5
64,78808,MORTGAGE,20.0,VENTURE,C,13222,13.29,0,0.17,Y,33
20,23331,RENT,0.0,HOMEIMPROVEMENT,A,3035,6.91,0,0.13,N,2
44,13671,MORTGAGE,9.0,HOMEIMPROVEMENT,B,1803,10.49,0,0.13,N,7
26,78210,MORTGAGE,1.0,EDUCATION,B,26653,8.82,1,0.34,N,2
28,24749,MORTGAGE,3.0,VENTURE,A,2632,5.71,0,0.11,Y,8
43,43809,RENT,17.0,HOMEIMPROVEMENT,D,1003,16.3,0,0.02,N,21
20,27308,RENT,1.0,VENTURE,A,8477,5.13,0,0.31,N,2
63,19910,RENT,,PERSONAL,B,6998,10.09,0,0.35,N,34
27,64262,RENT,3.0,EDUCATION,C,1602,,1,0.02,N,7
43,71652,MORTGAGE,14.0,PERSONAL,A,8256,5.64,0,0.12,N,6
30,36744,RENT,8.0,EDUCATION,C,11559,13.3,0,0.31,N,6
36,13419,RENT,14.0,DEBTCONSOLIDATION,C,4675,11.01,0,0.35,N,10
27,37304,RENT,6.0,PERSONAL,E,9692,17.71,1,0.26,N,7
54,59629,RENT,25.0,EDUCATION,D,14973,15.34,0,0.25,Y,11
54,23401,RENT,25.0,EDUCATION,A,7714,7.13,0,0.33,N,6
52,53727,MORTGAGE,17.0,VENTURE,B,9376,8.68,0,0.17,N,9
24,48646,OWN,2.0,MEDICAL,A,12701,5.66,0,0.26,N,4
61,65489,RENT,18.0,EDUCATION,A,15891,5.18,0,0.24,N,34
58,52041,RENT,32.0,PERSONAL,A,4251,,0,0.08,N,38
60,30135,RENT,2.0,EDUCATION,A,4147,5.91,0,0.14,N,2
47,89168,RENT,22.0,MEDICAL,D,28516,16.95,0,0.32,N,8
26,45285,MORTGAGE,7.0,EDUCATION,B,9144,8.02,0,0.2,N,7
28,48356,MORTGAGE,4.0,DEBTCONSOLIDATION,B,17438,8.68,0,0.36,N,8
27,30741,MORTGAGE,3.0,MEDICAL,B,10916,9.05,1,0.36,N,8
31,39275,MORTGAGE,12.0,PERSONAL,B,3910,10.12,0,0.1,Y,11
53,31495,RENT,0.0,VENTURE,E,2870,19.5,0,0.09,N,25
52,44959,MORTGAGE,9.0,EDUCATION,A,12482,5.4,0,0.28,N,15
67,115364,MORTGAGE,15.0,VENTURE,C,18985,,0,0.16,N,24
42,24687,MORTGAGE,6.0,EDUCATION,B,6767,10.69,0,0.27,N,10
43,21877,RENT,15.0,VENTURE,A,3793,6.11,0,0.17,N,9
56,102291,MORTGAGE,6.0,HOMEIMPROVEMENT,B,6830,8.67,0,0.07,Y,9
54,44149,MORTGAGE,25.0,DEBTCONSOLIDATION,C,12529,11.21,0,0.28,N,4
63,35082,MORTGAGE,6.0,EDUCATION,A,9120,6.94,1,0.26,N,33
59,82450,RENT,19.0,EDUCATION,A,24427,6.89,1,0.3,Y,5
41,36213,MORTGAGE,19.0,MEDICAL,A,3090,6.86,0,0.09,N,18
46,122149,MORTGAGE,25.0,DEBTCONSOLIDATION,C,6480,12.69,0,0.05,N,7
54,68800,MORTGAGE,13.0,DEBTCONSOLIDATION,C,10443,12.35,0,0.15,N,3
20,38408,OWN,0.0,PERSONAL,B,7370,9.13,0,0.19,N,2
54,144156,MORTGAGE,32.0,PERSONAL,B,33938,7.71,0,0.24,N,10
56,36211,RENT,23.0,MEDICAL,D,3809,15.84,0,0.11,N,2
66,71043,OWN,25.0,PERSONAL,C,7993,13.57,0,0.11,N,12
33,56933,RENT,3.0,EDUCATION,C,12946,13.32,1,0.23,N,14
22,93983,MORTGAGE,1.0,PERSONAL,C,4991,13.72,0,0.05,N,3
20,107018,RENT,0.0,VENTURE,C,24519,,0,0.23,N,2
24,49811,OWN,0.0,DEBTCONSOLIDATION,B,1826,8.6,0,0.04,N,4
45,33633,MORTGAGE,1.0,DEBTCONSOLIDATION,D,10857,16.85,0,0.32,N,7
33,61696,MORTGAGE,10.0,EDUCATION,D,17513,,1,0.28,Y,14
58,34931,OWN,11.0,VENTURE,A,2417,5.49,0,0.07,N,34
46,134147,MORTGAGE,3.0,HOMEIMPROVEMENT,A,30846,6.99,1,0.23,N,20
28,52484,MORTGAGE,2.0,PERSONAL,E,7798,19.86,1,0.15,N,9
34,40836,RENT,12.0,VENTURE,A,7773,5.2,0,0.19,N,11
34,53762,RENT,12.0,MEDICAL,D,18791,15.35,0,0.35,Y,3
45,24995,RENT,21.0,EDUCATION,B,6136,7.81,0,0.25,N,12
61,30157,RENT,29.0,MEDICAL,A,9785,5.4,0,0.32,N,42
32,89340,OWN,7.0,PERSONAL,A,18421,5.07,0,0.21,N,6
51,35296,MORTGAGE,18.0,VENTURE,A,11320,6.11,0,0.32,N,7
58,29043,MORTGAGE,26.0,EDUCATION,A,8546,6.93,0,0.29,Y,35
68,64108,RENT,36.0,EDUCATION,B,6903,8.03,0,0.11,Y,41
51,88685,RENT,4.0,PERSONAL,C,17406,13.65,0,0.2,N,23
23,70226,OWN,2.0,DEBTCONSOLIDATION,F,15949,21.09,1,0.23,N,4
49,80662,OWN,22.0,MEDICAL,B,10825,9.15,0,0.13,N,29
56,33577,RENT,8.0,VENTURE,B,7287,7.78,1,0.22,N,9
42,24078,MORTGAGE,5.0,VENTURE,B,2405,8.39,1,0.1,N,9
58,103846,MORTGAGE,20.0,MEDICAL,B,18578,,0,0.18,N,32
64,41716,RENT,10.0,EDUCATION,B,9767,7.78,0,0.23,N,2
34,43242,MORTGAGE,9.0,HOMEIMPROVEMENT,A,8923,7.18,0,0.21,N,8
62,95234,RENT,34.0,PERSONAL,A,9316,6.83,0,0.1,Y,35
48,64738,MORTGAGE,22.0,PERSONAL,A,12646,,0,0.2,N,16
55,61570,RENT,11.0,VENTURE,A,11556,6.22,0,0.19,N,25
32,144712,RENT,6.0,EDUCATION,C,11058,13.69,0,0.08,Y,13
51,35533,MORTGAGE,9.0,EDUCATION,A,7250,6.06,0,0.2,N,19
26,77957,RENT,0.0,MEDICAL,D,2683,14.48,0,0.03,N,5
41,50438,MORTGAGE,18.0,MEDICAL,D,12726,16.78,0,0.25,N,19
47,56066,RENT,6.0,VENTURE,E,20135,19.91,0,0.36,N,24
21,105264,RENT,0.0,VENTURE,E,24888,18.37,0,0.24,N,2
61,63191,RENT,20.0,VENTURE,A,8663,6.65,0,0.14,N,38
64,64160,RENT,3.0,VENTURE,B,14083,8.8,1,0.22,N,28
25,83805,MORTGAGE,2.0,EDUCATION,A,26007,5.17,0,0.31,Y,6
47,40844,RENT,16.0,EDUCATION,C,3722,11.94,0,0.09,N,28
47,32221,MORTGAGE,5.0,MEDICAL,D,6639,16.17,0,0.21,N,10
63,29073,MORTGAGE,10.0,EDUCATION,D,4223,16.01,0,0.15,N,6
63,18339,MORTGAGE,11.0,DEBTCONSOLIDATION,B,6441,,0,0.35,Y,9
39,137050,RENT,7.0,HOMEIMPROVEMENT,C,13863,11.45,0,0.1,N,19
49,28237,MORTGAGE,27.0,PERSONAL,A,6184,,0,0.22,N,4
30,43886,RENT,9.0,PERSONAL,A,10315,5.47,1,0.24,N,7
47,42684,RENT,15.0,PERSONAL,C,12368,11.03,0,0.29,N,12
44,57165,RENT,9.0,EDUCATION,B,5533,9.46,0,0.1,Y,24
58,73708,RENT,13.0,PERSONAL,G,18426,22.09,1,0.25,N,27
52,75375,RENT,20.0,MEDICAL,A,15560,6.83,0,0.21,N,25
20,36624,MORTGAGE,1.0,HOMEIMPROVEMENT,D,2641,14.73,0,0.07,N,2
46,45091,RENT,6.0,VENTURE,B,16925,,1,0.38,N,20
32,56460,RENT,6.0,EDUCATION,D,11633,16.15,1,0.21,N,8
60,43289,MORTGAGE,0.0,MEDICAL,C,4297,13.84,0,0.1,N,25
22,109499,RENT,,MEDICAL,D,31125,14.1,1,0.28,N,3
58,62660,RENT,21.0,HOMEIMPROVEMENT,A,4996,7.42,0,0.08,N,16
25,70787,RENT,,HOMEIMPROVEMENT,E,1014,17.9,1,0.01,N,5
27,68284,MORTGAGE,5.0,DEBTCONSOLIDATION,A,15895,,0,0.23,N,6
46,88144,RENT,17.0,MEDICAL,A,2674,5.45,0,0.03,N,7
28,53664,RENT,2.0,VENTURE,B,6099,8.91,0,0.11,N,9
56,25631,OWN,7.0,PERSONAL,D,4617,16.32,1,0.18,Y,10
52,59864,MORTGAGE,5.0,VENTURE,B,23941,8.58,0,0.4,N,20
61,35394,MORTGAGE,38.0,EDUCATION,D,6474,15.83,0,0.18,N,6
63,37635,MORTGAGE,17.0,MEDICAL,C,2480,13.01,0,0.07,N,40
43,65721,RENT,24.0,VENTURE,A,25082,6.49,0,0.38,N,20
34,91047,RENT,11.0,EDUCATION,E,6957,18.06,1,0.08,N,6
51,49544,RENT,26.0,PERSONAL,A,5210,6.93,0,0.11,N,21
51,57206,RENT,31.0,PERSONAL,D,16776,14.76,0,0.29,N,12
43,114818,RENT,24.0,PERSONAL,A,19069,5.67,0,0.17,N,24
60,55291,RENT,33.0,PERSONAL,B,3083,7.72,0,0.06,N,28
68,180023,OWN,39.0,PERSONAL,B,27865,9.3,0,0.15,N,30
68,65039,MORTGAGE,28.0,EDUCATION,A,19070,5.93,0,0.29,N,8
31,20325,RENT,6.0,EDUCATION,B,5158,9.01,1,0.25,N,3
58,71444,MORTGAGE,20.0,DEBTCONSOLIDATION,A,24193,7.05,0,0.34,N,4
21,59312,RENT,2.0,EDUCATION,A,17571,6.23,0,0.3,N,2
22,93421,RENT,1.0,PERSONAL,A,21572,6.24,0,0.23,N,2
68,68637,OWN,17.0,MEDICAL,B,5100,7.91,0,0.07,N,14
56,45741,RENT,23.0,HOMEIMPROVEMENT,C,12701,11.64,0,0.28,Y,17
68,26578,RENT,29.0,VENTURE,B,3072,8.36,0,0.12,N,13
36,44156,RENT,9.0,EDUCATION,D,1097,15.96,0,0.02,Y,8
68,32039,MORTGAGE,10.0,VENTURE,C,10483,13.21,1,0.33,N,28
21,36670,MORTGAGE,1.0,VENTURE,C,7805,12.63,0,0.21,N,2
21,65794,RENT,2.0,VENTURE,C,4464,11.32,0,0.07,Y,2
47,112978,MORTGAGE,24.0,VENTURE,B,2787,7.8,0,0.02,N,23
42,59714,MORTGAGE,18.0,DEBTCONSOLIDATION,C,8763,13.7,1,0.15,N,14
56,26958,MORTGAGE,29.0,DEBTCONSOLIDATION,A,6404,6.86,1,0.24,Y,34
51,61224,MORTGAGE,22.0,VENTURE,D,1683,14.58,0,0.03,N,16
52,89171,RENT,15.0,MEDICAL,C,17092,13.27,1,0.19,N,22
20,36138,RENT,1.0,VENTURE,A,2132,7.04,0,0.06,N,2
38,45843,OWN,7.0,HOMEIMPROVEMENT,C,13314,11.01,0,0.29,N,13
21,49382,OWN,0.0,PERSONAL,A,6877,5.99,0,0.14,N,2
63,33108,OWN,12.0,DEBTCONSOLIDATION,A,7198,6.93,0,0.22,Y,18
45,67787,OWN,2.0,EDUCATION,A,21220,6.91,0,0.31,N,24
51,46144,MORTGAGE,11.0,MEDICAL,C,14068,13.73,1,0.3,N,21
25,60461,MORTGAGE,3.0,DEBTCONSOLIDATION,C,15633,11.34,1,0.26,N,6
51,31453,MORTGAGE,12.0,EDUCATION,C,10806,11.0,0,0.34,N,18
23,39390,MORTGAGE,3.0,MEDICAL,A,2041,7.31,0,0.05,N,4
30,70346,MORTGAGE,4.0,PERSONAL,B,12057,9.74,0,0.17,N,5
36,40683,RENT,11.0,MEDICAL,C,6889,11.48,0,0.17,N,4
57,116248,RENT,8.0,PERSONAL,A,34622,6.16,0,0.3,Y,2
43,40142,RENT,4.0,EDUCATION,C,6738,12.75,0,0.17,N,5
24,54849,MORTGAGE,2.0,EDUCATION,A,3026,6.3,0,0.06,N,4
53,78142,OWN,12.0,DEBTCONSOLIDATION,A,27563,,1,0.35,N,9
25,24120,MORTGAGE,5.0,DEBTCONSOLIDATION,B,6365,10.59,0,0.26,Y,2
41,20324,RENT,9.0,PERSONAL,C,3550,13.57,0,0.17,N,13
30,22860,RENT,6.0,VENTURE,A,6208,6.92,0,0.27,N,6
67,92160,MORTGAGE,31.0,PERSONAL,A,31922,5.57,0,0.35,Y,10
35,37200,RENT,14.0,PERSONAL,A,8089,5.06,0,0.22,N,2
52,176151,RENT,20.0,PERSONAL,A,17623,5.97,0,0.1,Y,24
28,36970,RENT,3.0,DEBTCONSOLIDATION,A,1489,6.9,0,0.04,N,4
25,53759,RENT,1.0,DEBTCONSOLIDATION,B,13043,9.81,1,0.24,N,5
35,105985,MORTGAGE,15.0,EDUCATION,C,2036,11.73,0,0.02,N,14
48,133658,RENT,16.0,PERSONAL,B,23516,10.71,1,0.18,Y,28
22,137413,OWN,3.0,EDUCATION,C,22164,13.01,0,0.16,N,2
39,89696,RENT,15.0,MEDICAL,C,7122,12.57,1,0.08,N,15
55,81799,MORTGAGE,3.0,VENTURE,A,15578,5.8,0,0.19,N,36
38,65924,RENT,,EDUCATION,A,16689,6.02,0,0.25,N,12
45,72343,MORTGAGE,11.0,HOMEIMPROVEMENT,D,17150,14.67,0,0.24,N,18
22,37212,MORTGAGE,3.0,EDUCATION,A,6710,5.31,0,0.18,Y,2
38,32561,RENT,8.0,DEBTCONSOLIDATION,A,12692,,0,0.39,N,19
39,48938,MORTGAGE,19.0,VENTURE,A,13054,7.31,1,0.27,N,20
51,45022,MORTGAGE,4.0,MEDICAL,C,2767,13.08,0,0.06,N,19
26,39080,RENT,1.0,HOMEIMPROVEMENT,B,5708,10.31,0,0.15,N,7
60,69438,RENT,13.0,HOMEIMPROVEMENT,F,9353,21.69,1,0.13,N,30
52,79035,MORTGAGE,3.0,EDUCATION,D,26231,15.66,1,0.33,N,16
59,51236,MORTGAGE,6.0,EDUCATION,B,20390,7.8,1,0.4,N,8
58,102617,RENT,7.0,DEBTCONSOLIDATION,B,30292,8.05,1,0.3,N,38
37,27699,RENT,18.0,PERSONAL,A,2256,5.78,0,0.08,N,6
59,44496,MORTGAGE,14.0,PERSONAL,A,11143,5.18,0,0.25,N,8
20,34255,MORTGAGE,0.0,MEDICAL,A,8077,5.44,1,0.24,N,2
30,19278,MORTGAGE,5.0,HOMEIMPROVEMENT,A,6351,6.61,0,0.33,N,7
47,47035,RENT,11.0,HOMEIMPROVEMENT,A,15263,,0,0.32,N,13
44,46125,MORTGAGE,,DEBTCONSOLIDATION,A,1749,6.52,0,0.04,N,9
69,104477,RENT,35.0,MEDICAL,A,18092,5.61,0,0.17,N,19
42,67198,RENT,11.0,PERSONAL,E,7416,19.21,0,0.11,N,19
50,29375,MORTGAGE,4.0,VENTURE,B,10813,7.88,1,0.37,N,18
49,123877,MORTGAGE,28.0,HOMEIMPROVEMENT,F,26041,,0,0.21,Y,24
61,90266,RENT,34.0,PERSONAL,B,26676,9.28,0,0.3,N,12
54,65581,RENT,33.0,PERSONAL,B,2713,8.42,0,0.04,N,16
26,43772,MORTGAGE,3.0,PERSONAL,B,13777,10.81,1,0.31,N,7
35,30341,OWN,12.0,VENTURE,A,8936,6.87,0,0.29,N,5
45,40696,MORTGAGE,9.0,DEBTCONSOLIDATION,A,9308,,0,0.23,N,26
67,84488,MORTGAGE,4.0,VENTURE,E,16329,19.23,0,0.19,N,7
68,125780,RENT,0.0,DEBTCONSOLIDATION,F,14882,20.45,1,0.12,N,13
21,106045,OTHER,1.0,PERSONAL,A,5714,6.93,1,0.05,Y,2
20,38390,MORTGAGE,0.0,DEBTCONSOLIDATION,A,10666,5.64,0,0.28,N,2
67,28006,MORTGAGE,34.0,HOMEIMPROVEMENT,B,2274,9.63,0,0.08,N,24
31,52598,MORTGAGE,5.0,EDUCATION,A,4709,7.37,1,0.09,N,8
24,20247,MORTGAGE,0.0,DEBTCONSOLIDATION,B,1338,,0,0.07,N,5
56,57617,RENT,22.0,EDUCATION,A,7761,6.85,0,0.13,N,37
51,45533,RENT,8.0,DEBTCONSOLIDATION,B,5275,9.97,0,0.12,Y,4
28,38831,MORTGAGE,,DEBTCONSOLIDATION,A,13909,5.1,0,0.36,N,4
60,22084,RENT,23.0,HOMEIMPROVEMENT,B,4299,10.07,0,0.19,N,29
54,63373,RENT,30.0,VENTURE,A,19040,,0,0.3,N,16
38,37558,MORTGAGE,14.0,PERSONAL,B,7762,7.83,0,0.21,Y,14
67,27310,MORTGAGE,33.0,MEDICAL,F,9834,,1,0.36,Y,20
35,11659,RENT,16.0,EDUCATION,B,3070,10.89,1,0.26,N,9
22,48351,MORTGAGE,3.0,HOMEIMPROVEMENT,D,10872,15.55,1,0.22,N,3
39,118910,MORTGAGE,12.0,HOMEIMPROVEMENT,D,22657,15.97,0,0.19,N,6
43,112491,OWN,3.0,DEBTCONSOLIDATION,E,25827,19.11,0,0.23,N,22
52,39005,MORTGAGE,29.0,PERSONAL,C,9173,11.28,0,0.24,N,8
43,36275,RENT,3.0,HOMEIMPROVEMENT,C,1301,12.46,0,0.04,Y,6
30,61968,RENT,0.0,DEBTCONSOLIDATION,D,12333,16.87,0,0.2,N,10
68,29756,RENT,11.0,HOMEIMPROVEMENT,A,2566,6.8,0,0.09,N,18
27,57005,OWN,7.0,PERSONAL,B,12356,8.08,0,0.22,N,4
55,71900,OWN,30.0,PERSONAL,F,8816,20.93,0,0.12,N,5
57,90532,MORTGAGE,19.0,PERSONAL,C,12344,13.76,0,0.14,N,27
59,46626,MORTGAGE,27.0,VENTURE,E,17187,19.12,0,0.37,N,25
39,44274,OWN,20.0,VENTURE,C,12851,11.71,0,0.29,N,8
54,31603,MORTGAGE,12.0,DEBTCONSOLIDATION,D,8230,14.21,0,0.26,N,20
67,32420,RENT,17.0,MEDICAL,C,9803,11.6,0,0.3,N,31
44,43772,RENT,3.0,EDUCATION,C,16795,11.86,1,0.38,N,21
54,58905,MORTGAGE,18.0,VENTURE,B,2943,9.84,0,0.05,N,12
44,77403,RENT,,HOMEIMPROVEMENT,D,25649,14.99,1,0.33,Y,23
48,32807,RENT,20.0,DEBTCONSOLIDATION,D,12065,16.31,0,0.37,N,8
37,103398,MORTGAGE,1.0,HOMEIMPROVEMENT,D,22021,16.78,0,0.21,N,4
65,42806,RENT,9.0,MEDICAL,C,9348,12.04,0,0.22,N,23
37,48499,MORTGAGE,8.0,VENTURE,A,12750,6.06,0,0.26,N,18
21,33738,RENT,0.0,HOMEIMPROVEMENT,A,6385,5.44,0,0.19,N,2
54,14586,RENT,9.0,MEDICAL,E,1255,19.26,1,0.09,N,12
35,76269,RENT,7.0,EDUCATION,B,20494,10.39,1,0.27,N,16
60,70857,OWN,38.0,PERSONAL,A,10243,5.79,0,0.14,N,40
55,42588,RENT,,PERSONAL,A,6032,6.86,1,0.14,N,28
52,50690,OWN,,VENTURE,D,7261,,1,0.14,N,18
23,63447,MORTGAGE,1.0,PERSONAL,D,19801,16.37,0,0.31,Y,4
52,22442,MORTGAGE,30.0,EDUCATION,C,3256,13.03,0,0.15,N,30
33,37626,RENT,7.0,EDUCATION,C,3634,13.16,1,0.1,N,13
40,72921,RENT,18.0,VENTURE,B,28472,8.03,1,0.39,Y,13
67,26182,OWN,32.0,MEDICAL,A,2891,6.16,0,0.11,N,14
39,56770,MORTGAGE,0.0,VENTURE,A,20848,6.81,1,0.37,Y,12
27,24877,OTHER,0.0,PERSONAL,D,8426,15.24,1,0.34,N,8
26,61896,RENT,3.0,PERSONAL,A,2970,6.29,0,0.05,Y,4
22,48154,MORTGAGE,1.0,MEDICAL,C,7771,12.8,0,0.16,N,2
